Tweet ID,Text,Created At,Retweet Count,Reply Count,Like Count,Quote Count,Source
1998802233039925440,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802223103713336,"RT @RibbonChieko: 中国戦闘機の自衛隊機への火器管制レーダー照射を米国が「地域の平和と安定に資さない」と明確に批判(中国を名指し初非難)
同時に国務省は「米日同盟はこれまで以上に強固で日本へのコミットメントは揺るぎない」と明言。木原官房長官もこれを「強固な日米同…",,,,,,
1998802220582891684,"RT @TGTM_Official: First Japan, now South Korea. China is provoking a war.

South Korea scrambled fighter jets today after Russian and Chin…",,,,,,
1998802184838983831,"RT @World_At_War_6: ""JAPAN MILITARILY THREATENING CHINA""

Chinese Foreign Minister Wang Yi told his German counterpart, Johann Wadephul, th…",,,,,,
1998802176643314172,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802131378438472,"RT @iloveyatchan: To all around the world,
As Japan’s 🇯🇵former State Minister of Defense,I ask you to listen — and understand what 🇨🇳China…",,,,,,
1998802123614490812,"On the Relationship Between Global Demographics and Human Evolution

Since global demographics have become such a political talking point, it is worth considering that declining birth rates and demographic contraction—across China, the EU, Japan, and elsewhere—may be a feature of https://t.co/KXGDrju6OM",,,,,,
1998802120146083863,RT @GordonGChang: China is about to start a war with Japan. Now is the time to stop Xi Jinping from bringing everything down. See: https://…,,,,,,
1998802097350049921,"RT @DI313_: 🇨🇳🇷🇺🇯🇵🇺🇸🇮🇱🇰🇵 BREAKING

Pacific Tension Spikes as Major Powers Move Into Position 💥

China’s Liaoning carrier strike group along…",,,,,,
1998802083655594322,"RT @warsurveillance: 🇨🇳🇷🇺🇯🇵🇺🇸🇮🇱🇰🇵 Breaking:

 China’s Liaoning carrier strike group and joint China Russia bombers surged into waters near…",,,,,,
1998802053595017474,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802025681944894,RT @GordonGChang: China lied. Japan called out the lie. Tokyo is leading the defense of the free world.,,,,,,
1998802025400906023,"RT @InsightGL: -I told you #USA Pres Trump was planted by #China 
-His going after China was just a show to fleece #Europe, #India, #Japan,…",,,,,,
1998802023651967091,"RT @jacksonhinklle: 🚨🇨🇳🇰🇭 BREAKING: Cambodia has recently 'reaffirmed' their commitment to the 'One-China Principle,' something which Thail…",,,,,,
1998802020850106816,"RT @jacksonhinklle: 🚨🇨🇳🇰🇭 BREAKING: Cambodia has recently 'reaffirmed' their commitment to the 'One-China Principle,' something which Thail…",,,,,,
1998801994753179718,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998801987207581910,"RT @maryann_3040: NFSC聯盟譯統任務2️⃣1️⃣7️⃣日本🇯🇵大和農場(籌申)
Japan’s Osaka Governor Hirofumi Yoshimura emphasized that Japan and China have fundamenta…",,,,,,
1998801943011983604,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998801936120963211,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998801919003820187,"It's valid physic/technical solution but to implicate nation states with UFO patents you need to find patents by official government bodies, aerospace companies or universities so far i could only do that just for United States, Russia, China and Japan. #ufotwitter #US  #China https://t.co/17AFfkGthj",,,,,,
1998801909092856019,"@yorukcan310317 @Ignis_Rex Japan tried once. They conquered China ok, but couldn't beat Australia. https://t.co/GQhZEywA4G",,,,,,
1998801903577346479,"RT @MsMelChen: “Japan threatening us militarily,” says China’s foreign minister. 

Odd thing to say when two 🇨🇳 Chinese J-15 jets just lock…",,,,,,
1998801898221269056,"RT @harukaawake: 🇯🇵 Japanese PM Sanae Takaichi explains that her goal is to reduce reliance on China and Chinese tourists. 

Instead, Japan…",,,,,,
1998801893620068750,"RT @stats_feed: Top 35 countries by cultural influence ranking:

1. Italy 🇮🇹 
2. France 🇫🇷 
3. USA 🇺🇸 
4. Spain 🇪🇸 
5. Japan 🇯🇵 
6. UK 🇬🇧…",,,,,,
1998801884296188217,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
